Unnamed: 0,Overall_Rating,Type Of Traveller,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
164,1,Couple Leisure,Economy Class,,,,,,,1.0,no
165,1,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,,,5.0,yes
166,9,Solo Leisure,Economy Class,4.0,5.0,5.0,5.0,5.0,4.0,5.0,yes
167,1,Family Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
168,1,Couple Leisure,Economy Class,,,,,,,1.0,no
169,3,Business,Business Class,1.0,5.0,3.0,5.0,,,1.0,no
170,1,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,,,1.0,no
171,1,Couple Leisure,Economy Class,1.0,3.0,2.0,3.0,,2.0,1.0,no
172,1,Solo Leisure,Economy Class,4.0,5.0,5.0,5.0,4.0,5.0,5.0,yes
173,1,Business,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
174,1,Business,Economy Class,5.0,5.0,5.0,5.0,,,5.0,yes
175,9,Solo Leisure,Economy Class,4.0,5.0,4.0,5.0,4.0,4.0,5.0,yes
176,6,Family Leisure,Economy Class,2.0,4.0,2.0,5.0,1.0,1.0,2.0,yes
177,4,Family Leisure,Economy Class,4.0,2.0,1.0,3.0,1.0,,1.0,yes
178,1,Family Leisure,Economy Class,2.0,4.0,2.0,1.0,,,1.0,no
179,1,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,,,5.0,yes
180,4,Business,Economy Class,4.0,4.0,3.0,1.0,3.0,,1.0,no
181,5,Business,Economy Class,4.0,5.0,2.0,4.0,,,2.0,no
182,2,Business,Economy Class,,,,1.0,,,1.0,no
183,2,Family Leisure,Economy Class,2.0,3.0,1.0,1.0,,,2.0,no
184,7,Solo Leisure,Economy Class,3.0,4.0,4.0,4.0,4.0,4.0,5.0,yes
185,7,Couple Leisure,Economy Class,3.0,3.0,3.0,4.0,,,5.0,yes
186,1,Couple Leisure,Economy Class,,,,,,,1.0,no
187,5,Solo Leisure,Economy Class,3.0,4.0,2.0,4.0,,,3.0,no
188,2,Solo Leisure,Economy Class,3.0,3.0,,1.0,,,1.0,no
189,1,Couple Leisure,Economy Class,1.0,1.0,,1.0,,,1.0,no
190,3,Solo Leisure,Economy Class,4.0,5.0,4.0,3.0,,,3.0,no
191,3,Business,Economy Class,1.0,1.0,1.0,1.0,,,1.0,no
192,1,Solo Leisure,Business Class,3.0,5.0,4.0,5.0,3.0,4.0,4.0,yes
193,9,Family Leisure,Economy Class,4.0,5.0,5.0,5.0,5.0,5.0,5.0,yes
194,3,Couple Leisure,Economy Class,4.0,4.0,3.0,1.0,3.0,,3.0,no
195,1,Couple Leisure,Economy Class,1.0,4.0,1.0,3.0,,,2.0,no
196,1,Couple Leisure,Economy Class,3.0,5.0,5.0,5.0,,,5.0,yes
197,3,Couple Leisure,Economy Class,2.0,2.0,,4.0,,,1.0,no
198,2,Solo Leisure,Economy Class,3.0,3.0,,1.0,,,2.0,no
199,1,Couple Leisure,Economy Class,2.0,2.0,1.0,1.0,1.0,1.0,1.0,no
200,1,Family Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
201,2,Couple Leisure,Economy Class,2.0,4.0,4.0,1.0,1.0,1.0,3.0,no
202,1,Family Leisure,Economy Class,3.0,4.0,,1.0,,1.0,1.0,no
203,1,Family Leisure,Economy Class,2.0,2.0,1.0,3.0,3.0,2.0,3.0,no
204,1,Family Leisure,Economy Class,1.0,1.0,1.0,1.0,,,1.0,no
205,1,Couple Leisure,Economy Class,1.0,5.0,,1.0,,,1.0,no
206,9,Family Leisure,Economy Class,4.0,5.0,,4.0,,,5.0,yes
207,1,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
208,1,Couple Leisure,Economy Class,1.0,1.0,,1.0,,,1.0,no
209,1,Solo Leisure,Economy Class,3.0,5.0,5.0,1.0,3.0,1.0,1.0,no
210,1,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
211,7,Couple Leisure,Business Class,5.0,4.0,3.0,5.0,2.0,1.0,4.0,yes
212,2,Family Leisure,Economy Class,3.0,4.0,4.0,3.0,4.0,4.0,2.0,no
213,3,Business,Economy Class,1.0,1.0,1.0,1.0,,,1.0,no
214,1,Family Leisure,Economy Class,3.0,3.0,3.0,1.0,3.0,1.0,1.0,no
215,1,Business,Business Class,1.0,1.0,1.0,1.0,,,1.0,no
216,7,Solo Leisure,Economy Class,5.0,2.0,,2.0,,,3.0,yes
217,1,Business,Business Class,2.0,1.0,1.0,1.0,1.0,1.0,1.0,no
