Unnamed: 0,Overall_Rating,Type Of Traveller,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended,Profile
59,5,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,4.0,yes,Detractor
60,5,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,4.0,yes,Detractor
61,8,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,yes,Passive
62,9,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,4.0,yes,Promoter
63,5,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
64,9,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,4.0,yes,Promoter
65,9,Solo Leisure,Business Class,3.0,1.0,1.0,1.0,1.0,1.0,4.0,yes,Promoter
66,1,Solo Leisure,Business Class,3.0,1.0,1.0,1.0,1.0,1.0,4.0,yes,Detractor
67,7,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,yes,Passive
68,5,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
69,5,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
70,6,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,yes,Detractor
71,7,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,4.0,yes,Passive
72,5,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,4.0,yes,Detractor
73,3,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
74,4,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
75,4,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
76,4,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
77,10,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Promoter
78,10,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Promoter
79,10,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Promoter
80,10,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Promoter
81,10,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Promoter
82,10,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Promoter
83,10,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Promoter
84,10,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Promoter
85,10,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Promoter
86,10,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Promoter
87,10,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Promoter
88,10,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Promoter
89,10,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Promoter
90,10,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Promoter
91,10,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Promoter
92,10,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Promoter
93,10,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Promoter
94,1,Family Leisure,Economy Class,2.0,1.0,1.0,1.0,4.0,2.0,1.0,no,Detractor
95,1,Couple Leisure,Economy Class,3.0,1.0,3.0,1.0,1.0,1.0,1.0,no,Detractor
96,4,Family Leisure,Economy Class,2.0,3.0,3.0,2.0,1.0,1.0,2.0,yes,Detractor
97,4,Couple Leisure,Premium Economy,3.0,2.0,1.0,2.0,1.0,1.0,2.0,no,Detractor
98,1,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
99,1,Couple Leisure,Business Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
100,1,Couple Leisure,Economy Class,3.0,3.0,1.0,1.0,1.0,1.0,2.0,no,Detractor
101,1,Couple Leisure,Economy Class,3.0,3.0,1.0,5.0,1.0,1.0,5.0,yes,Detractor
102,8,Business,Business Class,3.0,4.0,4.0,3.0,1.0,1.0,4.0,yes,Passive
103,4,Business,Economy Class,2.0,4.0,3.0,1.0,1.0,1.0,2.0,no,Detractor
104,1,Business,Business Class,5.0,5.0,5.0,1.0,1.0,1.0,1.0,no,Detractor
105,6,Couple Leisure,Economy Class,4.0,3.0,2.0,4.0,1.0,1.0,5.0,yes,Detractor
106,1,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
107,2,Couple Leisure,Economy Class,1.0,2.0,1.0,1.0,1.0,1.0,3.0,no,Detractor
108,9,Couple Leisure,Economy Class,5.0,5.0,5.0,4.0,1.0,1.0,5.0,yes,Promoter
109,9,Couple Leisure,Business Class,5.0,5.0,5.0,5.0,1.0,1.0,5.0,yes,Promoter
110,1,Family Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
111,1,Business,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
112,8,Couple Leisure,Economy Class,4.0,5.0,3.0,5.0,1.0,1.0,5.0,yes,Passive
113,1,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,3.0,4.0,5.0,yes,Detractor
114,9,Solo Leisure,Economy Class,4.0,5.0,5.0,4.0,1.0,4.0,4.0,yes,Promoter
115,1,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
116,1,Solo Leisure,Economy Class,3.0,3.0,2.0,1.0,1.0,1.0,2.0,no,Detractor
117,3,Solo Leisure,Economy Class,4.0,5.0,3.0,1.0,1.0,1.0,3.0,no,Detractor
118,9,Couple Leisure,Business Class,4.0,5.0,5.0,4.0,4.0,5.0,5.0,yes,Promoter
119,8,Family Leisure,Business Class,2.0,4.0,3.0,5.0,4.0,5.0,5.0,yes,Passive
120,1,Business,Economy Class,3.0,2.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
121,2,Family Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
122,5,Family Leisure,Economy Class,1.0,5.0,2.0,5.0,1.0,1.0,3.0,no,Detractor
123,1,Couple Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
124,1,Family Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
125,2,Solo Leisure,Economy Class,1.0,2.0,1.0,2.0,1.0,1.0,2.0,no,Detractor
126,3,Family Leisure,Economy Class,2.0,3.0,3.0,3.0,3.0,3.0,2.0,no,Detractor
127,5,Solo Leisure,Economy Class,3.0,3.0,3.0,3.0,1.0,1.0,3.0,no,Detractor
128,1,Solo Leisure,Economy Class,2.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
129,1,Family Leisure,Economy Class,4.0,5.0,4.0,1.0,1.0,1.0,1.0,no,Detractor
130,1,Solo Leisure,Economy Class,5.0,5.0,3.0,5.0,1.0,1.0,5.0,yes,Detractor
131,1,Family Leisure,Economy Class,2.0,1.0,2.0,3.0,1.0,2.0,3.0,no,Detractor
132,2,Business,Economy Class,2.0,4.0,3.0,2.0,1.0,1.0,3.0,no,Detractor
133,1,Solo Leisure,Economy Class,4.0,5.0,4.0,5.0,1.0,5.0,5.0,yes,Detractor
134,1,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
135,6,Business,Economy Class,3.0,3.0,3.0,3.0,3.0,1.0,3.0,no,Detractor
136,1,Couple Leisure,Economy Class,2.0,2.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
137,1,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
138,5,Solo Leisure,Economy Class,4.0,5.0,3.0,1.0,1.0,1.0,3.0,no,Detractor
139,1,Couple Leisure,Economy Class,2.0,5.0,2.0,1.0,1.0,1.0,1.0,no,Detractor
140,5,Family Leisure,Economy Class,5.0,5.0,4.0,4.0,1.0,1.0,3.0,yes,Detractor
141,1,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,1.0,1.0,5.0,yes,Detractor
142,4,Business,Economy Class,3.0,3.0,1.0,4.0,1.0,1.0,2.0,no,Detractor
143,2,Couple Leisure,Economy Class,3.0,1.0,2.0,2.0,1.0,1.0,3.0,no,Detractor
144,6,Solo Leisure,Economy Class,2.0,4.0,4.0,4.0,1.0,1.0,3.0,yes,Detractor
145,2,Couple Leisure,Economy Class,2.0,3.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
146,2,Couple Leisure,Economy Class,2.0,3.0,3.0,1.0,1.0,1.0,1.0,no,Detractor
147,1,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,4.0,1.0,5.0,yes,Detractor
148,5,Solo Leisure,Economy Class,3.0,4.0,3.0,1.0,1.0,1.0,1.0,no,Detractor
