Unnamed: 0,Overall_Rating,Type Of Traveller,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended,Profile
6987,2,Business,Economy Class,1.0,1.0,1.0,1.0,4.0,2.0,1.0,no,Detractor
6988,1,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,3.0,1.0,1.0,no,Detractor
6989,1,Family Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
6990,1,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
6991,6,Couple Leisure,Economy Class,4.0,5.0,2.0,3.0,2.0,1.0,4.0,yes,Detractor
6992,7,Solo Leisure,Business Class,4.0,4.0,4.0,4.0,2.0,1.0,5.0,yes,Passive
6993,2,Family Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
6994,1,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,2.0,no,Detractor
6995,2,Business,Economy Class,2.0,2.0,1.0,2.0,1.0,1.0,2.0,no,Detractor
6996,9,Solo Leisure,Business Class,5.0,5.0,5.0,5.0,1.0,1.0,5.0,yes,Promoter
6997,8,Solo Leisure,Business Class,4.0,5.0,3.0,5.0,1.0,1.0,5.0,yes,Passive
6998,8,Family Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,1.0,5.0,yes,Passive
6999,8,Family Leisure,Economy Class,4.0,5.0,5.0,5.0,4.0,2.0,5.0,yes,Passive
7000,9,Business,Business Class,5.0,5.0,5.0,5.0,1.0,1.0,5.0,yes,Promoter
7001,8,Solo Leisure,Business Class,3.0,3.0,3.0,3.0,3.0,1.0,5.0,yes,Passive
7002,7,Solo Leisure,Economy Class,3.0,3.0,3.0,3.0,1.0,1.0,4.0,yes,Passive
7003,2,Couple Leisure,Economy Class,2.0,4.0,3.0,2.0,3.0,2.0,5.0,no,Detractor
7004,1,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
7005,1,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
7006,4,Solo Leisure,Economy Class,2.0,2.0,2.0,2.0,2.0,1.0,3.0,no,Detractor
7007,8,Solo Leisure,Economy Class,5.0,5.0,3.0,5.0,3.0,1.0,5.0,yes,Passive
7008,7,Business,Economy Class,4.0,4.0,3.0,4.0,2.0,1.0,4.0,yes,Passive
7009,1,Solo Leisure,Economy Class,3.0,1.0,2.0,1.0,3.0,1.0,4.0,no,Detractor
7010,1,Solo Leisure,Economy Class,1.0,3.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
7011,1,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,1.0,5.0,yes,Detractor
7012,1,Couple Leisure,Economy Class,4.0,5.0,2.0,1.0,5.0,1.0,3.0,no,Detractor
7013,1,Solo Leisure,Economy Class,4.0,4.0,4.0,5.0,4.0,4.0,4.0,yes,Detractor
7014,1,Family Leisure,Economy Class,5.0,4.0,4.0,5.0,5.0,4.0,5.0,yes,Detractor
7015,7,Solo Leisure,Business Class,4.0,5.0,5.0,5.0,3.0,1.0,3.0,yes,Passive
7016,9,Solo Leisure,Economy Class,4.0,5.0,4.0,5.0,4.0,1.0,5.0,yes,Promoter
7017,1,Couple Leisure,Economy Class,4.0,5.0,5.0,5.0,4.0,4.0,5.0,yes,Detractor
7018,9,Family Leisure,Economy Class,5.0,5.0,4.0,5.0,4.0,1.0,5.0,yes,Promoter
7019,8,Couple Leisure,Economy Class,4.0,4.0,3.0,5.0,3.0,1.0,5.0,yes,Passive
7020,1,Couple Leisure,Economy Class,4.0,4.0,5.0,5.0,5.0,5.0,5.0,yes,Detractor
7021,9,Business,Business Class,4.0,4.0,4.0,5.0,4.0,4.0,4.0,yes,Promoter
7022,8,Family Leisure,Economy Class,4.0,4.0,4.0,5.0,4.0,1.0,5.0,yes,Passive
7023,9,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,1.0,5.0,yes,Promoter
7024,9,Solo Leisure,Economy Class,5.0,5.0,4.0,5.0,4.0,1.0,5.0,yes,Promoter
7025,8,Solo Leisure,Economy Class,4.0,5.0,4.0,5.0,2.0,1.0,4.0,yes,Passive
7026,1,Couple Leisure,Economy Class,5.0,5.0,4.0,5.0,4.0,4.0,5.0,yes,Detractor
7027,9,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,1.0,5.0,yes,Promoter
7028,1,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
7029,8,Solo Leisure,Business Class,5.0,5.0,4.0,5.0,4.0,1.0,5.0,yes,Passive
7030,8,Couple Leisure,Economy Class,5.0,5.0,4.0,5.0,4.0,1.0,5.0,yes,Passive
7031,1,Family Leisure,Economy Class,5.0,5.0,4.0,5.0,4.0,4.0,5.0,yes,Detractor
7032,8,Solo Leisure,Economy Class,2.0,4.0,3.0,4.0,3.0,1.0,4.0,yes,Passive
7033,9,Business,Business Class,5.0,5.0,5.0,5.0,4.0,1.0,5.0,yes,Promoter
7034,1,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,1.0,1.0,5.0,yes,Detractor
7035,8,Solo Leisure,Economy Class,5.0,5.0,4.0,5.0,4.0,3.0,5.0,yes,Passive
7036,1,Solo Leisure,Economy Class,4.0,5.0,4.0,5.0,4.0,1.0,4.0,yes,Detractor
7037,8,Solo Leisure,Economy Class,3.0,2.0,3.0,5.0,2.0,1.0,3.0,yes,Passive
7038,9,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,1.0,5.0,yes,Promoter
7039,1,Family Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,3.0,5.0,yes,Detractor
7040,9,Business,Economy Class,4.0,5.0,4.0,5.0,5.0,1.0,5.0,yes,Promoter
7041,9,Business,Economy Class,4.0,5.0,4.0,5.0,4.0,4.0,4.0,yes,Promoter
7042,9,Solo Leisure,Economy Class,4.0,5.0,5.0,5.0,4.0,1.0,5.0,yes,Promoter
7043,1,Solo Leisure,Economy Class,5.0,5.0,4.0,5.0,5.0,4.0,5.0,yes,Detractor
7044,9,Solo Leisure,Business Class,4.0,4.0,4.0,5.0,4.0,1.0,4.0,yes,Promoter
7045,9,Couple Leisure,Business Class,5.0,5.0,5.0,5.0,5.0,1.0,5.0,yes,Promoter
7046,1,Business,Economy Class,5.0,5.0,5.0,5.0,1.0,1.0,5.0,yes,Detractor
7047,1,Family Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,1.0,5.0,yes,Detractor
7048,9,Business,Economy Class,4.0,4.0,4.0,5.0,4.0,1.0,4.0,yes,Promoter
7049,9,Solo Leisure,Business Class,5.0,5.0,4.0,5.0,4.0,1.0,4.0,yes,Promoter
7050,8,Solo Leisure,Business Class,5.0,4.0,3.0,5.0,3.0,1.0,4.0,yes,Passive
7051,9,Solo Leisure,Business Class,5.0,5.0,5.0,5.0,4.0,1.0,5.0,yes,Promoter
7052,1,Solo Leisure,Business Class,5.0,5.0,5.0,5.0,5.0,1.0,5.0,yes,Detractor
7053,9,Solo Leisure,Economy Class,5.0,4.0,4.0,5.0,4.0,3.0,5.0,yes,Promoter
7054,1,Family Leisure,Economy Class,5.0,5.0,4.0,5.0,5.0,1.0,4.0,yes,Detractor
7055,1,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,2.0,5.0,yes,Detractor
7056,1,Solo Leisure,Economy Class,2.0,5.0,4.0,5.0,5.0,1.0,5.0,yes,Detractor
7057,9,Business,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,5.0,yes,Promoter
7058,9,Solo Leisure,Economy Class,5.0,5.0,4.0,5.0,1.0,1.0,5.0,yes,Promoter
7059,8,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,4.0,4.0,4.0,yes,Passive
7060,9,Solo Leisure,Business Class,5.0,5.0,4.0,5.0,4.0,4.0,5.0,yes,Promoter
7061,8,Solo Leisure,Economy Class,5.0,5.0,4.0,5.0,5.0,5.0,4.0,yes,Passive
7062,1,Solo Leisure,Business Class,5.0,5.0,5.0,5.0,5.0,1.0,5.0,yes,Detractor
7063,9,Family Leisure,Economy Class,5.0,5.0,5.0,5.0,1.0,1.0,5.0,yes,Promoter
7064,1,Business,Economy Class,4.0,4.0,4.0,5.0,4.0,4.0,4.0,yes,Detractor
7065,6,Business,Economy Class,3.0,4.0,4.0,3.0,5.0,2.0,4.0,yes,Detractor
7066,9,Business,Economy Class,4.0,4.0,4.0,5.0,1.0,1.0,4.0,yes,Promoter
7067,9,Family Leisure,Economy Class,4.0,5.0,4.0,5.0,1.0,1.0,5.0,yes,Promoter
7068,1,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,5.0,yes,Detractor
7069,1,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,1.0,5.0,yes,Detractor
7070,9,Family Leisure,Economy Class,4.0,4.0,4.0,5.0,4.0,1.0,5.0,yes,Promoter
7071,1,Business,Economy Class,5.0,5.0,5.0,5.0,1.0,1.0,5.0,yes,Detractor
7072,8,Business,Business Class,5.0,5.0,4.0,5.0,5.0,1.0,4.0,yes,Passive
7073,8,Solo Leisure,Economy Class,5.0,5.0,4.0,5.0,5.0,1.0,4.0,yes,Passive
7074,9,Solo Leisure,Economy Class,5.0,5.0,4.0,5.0,5.0,1.0,5.0,yes,Promoter
7075,1,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,1.0,5.0,yes,Detractor
7076,7,Business,Business Class,3.0,5.0,4.0,4.0,3.0,1.0,4.0,yes,Passive
7077,9,Solo Leisure,Economy Class,4.0,4.0,4.0,5.0,4.0,4.0,4.0,yes,Promoter
7078,8,Family Leisure,Economy Class,4.0,5.0,3.0,5.0,4.0,1.0,4.0,yes,Passive
7079,9,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,1.0,5.0,yes,Promoter
7080,8,Couple Leisure,Economy Class,4.0,5.0,3.0,5.0,3.0,1.0,4.0,yes,Passive
7081,9,Business,Business Class,4.0,4.0,4.0,5.0,4.0,3.0,4.0,yes,Promoter
7082,7,Business,Business Class,3.0,5.0,4.0,4.0,3.0,1.0,4.0,yes,Passive
7083,9,Family Leisure,Business Class,4.0,4.0,1.0,5.0,3.0,1.0,5.0,yes,Promoter
7084,9,Solo Leisure,Business Class,5.0,5.0,5.0,5.0,1.0,1.0,5.0,yes,Promoter
7085,9,Couple Leisure,Economy Class,4.0,5.0,3.0,5.0,4.0,1.0,4.0,yes,Promoter
7086,8,Solo Leisure,Economy Class,3.0,4.0,3.0,5.0,4.0,1.0,4.0,yes,Passive
7087,9,Family Leisure,Business Class,5.0,5.0,4.0,5.0,1.0,1.0,4.0,yes,Promoter
7088,9,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,1.0,1.0,5.0,yes,Promoter
7089,9,Business,Economy Class,5.0,5.0,5.0,5.0,4.0,1.0,5.0,yes,Promoter
7090,9,Family Leisure,Business Class,5.0,5.0,4.0,5.0,5.0,1.0,4.0,yes,Promoter
7091,9,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,1.0,5.0,yes,Promoter
7092,9,Couple Leisure,Economy Class,5.0,5.0,5.0,5.0,1.0,1.0,5.0,yes,Promoter
7093,1,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,1.0,1.0,5.0,yes,Detractor
7094,8,Family Leisure,Business Class,5.0,5.0,4.0,5.0,4.0,1.0,4.0,yes,Passive
7095,9,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,1.0,5.0,yes,Promoter
7096,9,Family Leisure,Economy Class,4.0,5.0,4.0,5.0,1.0,1.0,4.0,yes,Promoter
7097,8,Business,Business Class,5.0,5.0,4.0,5.0,5.0,5.0,4.0,yes,Passive
7098,9,Business,Business Class,5.0,5.0,5.0,5.0,4.0,1.0,4.0,yes,Promoter
7099,9,Business,Economy Class,5.0,5.0,5.0,5.0,4.0,1.0,5.0,yes,Promoter
7100,9,Business,Economy Class,5.0,5.0,5.0,5.0,1.0,1.0,4.0,yes,Promoter
7101,9,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,1.0,1.0,5.0,yes,Promoter
7102,1,Business,Economy Class,5.0,5.0,5.0,5.0,1.0,1.0,5.0,yes,Detractor
7103,9,Couple Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,1.0,5.0,yes,Promoter
7104,8,Couple Leisure,Business Class,4.0,5.0,4.0,5.0,4.0,1.0,4.0,yes,Passive
7105,1,Family Leisure,Economy Class,3.0,1.0,1.0,5.0,1.0,1.0,5.0,yes,Detractor
7106,1,Solo Leisure,Business Class,5.0,5.0,5.0,5.0,5.0,1.0,5.0,yes,Detractor
7107,8,Family Leisure,Business Class,4.0,5.0,4.0,5.0,3.0,1.0,5.0,yes,Passive
7108,1,Couple Leisure,Business Class,5.0,5.0,5.0,5.0,5.0,1.0,5.0,yes,Detractor
7109,9,Solo Leisure,Economy Class,4.0,5.0,5.0,5.0,5.0,1.0,4.0,yes,Promoter
7110,9,Solo Leisure,Economy Class,4.0,5.0,4.0,5.0,4.0,1.0,4.0,yes,Promoter
7111,6,Solo Leisure,Economy Class,2.0,4.0,2.0,5.0,1.0,1.0,5.0,no,Detractor
7112,4,Solo Leisure,Economy Class,3.0,2.0,1.0,2.0,1.0,1.0,3.0,no,Detractor
7113,1,Solo Leisure,Economy Class,2.0,1.0,1.0,1.0,1.0,1.0,2.0,no,Detractor
7114,2,Business,Economy Class,4.0,1.0,1.0,3.0,1.0,1.0,3.0,no,Detractor
7115,8,Solo Leisure,Economy Class,4.0,4.0,4.0,1.0,1.0,1.0,4.0,yes,Passive
7116,8,Business,Economy Class,3.0,4.0,1.0,4.0,1.0,1.0,2.0,yes,Passive
7117,6,Couple Leisure,Economy Class,2.0,2.0,1.0,4.0,1.0,1.0,5.0,yes,Detractor
7118,8,Solo Leisure,Economy Class,5.0,5.0,1.0,5.0,1.0,1.0,5.0,yes,Passive
7119,1,Solo Leisure,Economy Class,2.0,2.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
7120,1,Business,Economy Class,1.0,1.0,2.0,1.0,1.0,1.0,1.0,no,Detractor
7121,9,Family Leisure,Economy Class,4.0,5.0,1.0,5.0,1.0,1.0,4.0,yes,Promoter
7122,1,Solo Leisure,Economy Class,5.0,5.0,1.0,5.0,1.0,1.0,5.0,yes,Detractor
7123,2,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
7124,2,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,2.0,no,Detractor
7125,1,Family Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
7126,1,Family Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,3.0,no,Detractor
7127,4,Solo Leisure,Economy Class,2.0,1.0,1.0,2.0,1.0,1.0,2.0,no,Detractor
7128,1,Family Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
7129,7,Solo Leisure,Economy Class,4.0,4.0,1.0,4.0,1.0,1.0,4.0,yes,Passive
7130,7,Solo Leisure,Economy Class,4.0,4.0,1.0,5.0,1.0,1.0,4.0,yes,Passive
7131,6,Solo Leisure,Economy Class,2.0,3.0,1.0,2.0,1.0,1.0,4.0,yes,Detractor
7132,1,Family Leisure,Economy Class,4.0,5.0,4.0,5.0,1.0,1.0,5.0,yes,Detractor
7133,1,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,1.0,1.0,5.0,yes,Detractor
7134,8,Solo Leisure,Economy Class,4.0,5.0,5.0,4.0,1.0,1.0,5.0,yes,Passive
7135,8,Solo Leisure,Economy Class,4.0,5.0,4.0,4.0,1.0,1.0,5.0,yes,Passive
7136,2,Couple Leisure,Economy Class,1.0,5.0,3.0,1.0,1.0,1.0,1.0,no,Detractor
7137,2,Couple Leisure,Economy Class,3.0,4.0,1.0,1.0,1.0,1.0,3.0,no,Detractor
7138,1,Couple Leisure,Economy Class,2.0,3.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
7139,7,Solo Leisure,Economy Class,2.0,4.0,4.0,4.0,1.0,1.0,4.0,yes,Passive
7140,4,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,2.0,no,Detractor
7141,8,Business,Economy Class,1.0,3.0,1.0,4.0,1.0,1.0,4.0,yes,Passive
7142,1,Family Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
7143,8,Solo Leisure,Economy Class,3.0,5.0,1.0,5.0,1.0,1.0,4.0,yes,Passive
7144,6,Solo Leisure,Economy Class,4.0,4.0,1.0,4.0,1.0,1.0,3.0,yes,Detractor
7145,4,Solo Leisure,Economy Class,4.0,3.0,1.0,1.0,1.0,1.0,2.0,no,Detractor
7146,9,Solo Leisure,Economy Class,4.0,5.0,1.0,5.0,1.0,1.0,5.0,yes,Promoter
7147,9,Solo Leisure,Economy Class,4.0,5.0,1.0,4.0,1.0,1.0,5.0,yes,Promoter
7148,9,Solo Leisure,Economy Class,3.0,3.0,1.0,4.0,1.0,1.0,4.0,yes,Promoter
7149,8,Family Leisure,Economy Class,3.0,5.0,1.0,5.0,1.0,1.0,5.0,yes,Passive
7150,7,Business,Economy Class,3.0,3.0,1.0,4.0,1.0,1.0,4.0,yes,Passive
7151,8,Couple Leisure,Economy Class,4.0,4.0,1.0,4.0,1.0,1.0,4.0,yes,Passive
7152,1,Solo Leisure,Economy Class,4.0,4.0,3.0,4.0,1.0,1.0,4.0,yes,Detractor
7153,8,Solo Leisure,Economy Class,4.0,5.0,1.0,3.0,1.0,1.0,4.0,yes,Passive
7154,8,Business,Economy Class,4.0,4.0,1.0,4.0,1.0,1.0,4.0,yes,Passive
7155,8,Solo Leisure,Economy Class,4.0,4.0,1.0,4.0,1.0,1.0,4.0,yes,Passive
7156,8,Business,Economy Class,4.0,5.0,1.0,4.0,1.0,1.0,5.0,yes,Passive
7157,6,Solo Leisure,Economy Class,4.0,4.0,1.0,2.0,1.0,1.0,5.0,yes,Detractor
7158,8,Family Leisure,Economy Class,4.0,4.0,3.0,4.0,1.0,1.0,5.0,yes,Passive
7159,7,Solo Leisure,Economy Class,2.0,4.0,3.0,3.0,1.0,1.0,3.0,yes,Passive
7160,7,Family Leisure,Economy Class,3.0,5.0,1.0,2.0,1.0,1.0,4.0,yes,Passive
7161,6,Solo Leisure,Economy Class,3.0,3.0,1.0,3.0,1.0,3.0,5.0,yes,Detractor
7162,7,Solo Leisure,Economy Class,4.0,4.0,1.0,4.0,1.0,1.0,5.0,yes,Passive
7163,9,Business,Economy Class,5.0,5.0,1.0,5.0,1.0,1.0,5.0,yes,Promoter
7164,9,Solo Leisure,Economy Class,4.0,5.0,1.0,3.0,1.0,1.0,5.0,yes,Promoter
7165,3,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
7166,8,Family Leisure,Economy Class,3.0,4.0,1.0,3.0,1.0,1.0,4.0,yes,Passive
7167,8,Business,Economy Class,4.0,4.0,4.0,4.0,1.0,1.0,4.0,yes,Passive
7168,7,Business,Economy Class,3.0,4.0,3.0,4.0,1.0,1.0,5.0,yes,Passive
7169,5,Solo Leisure,Economy Class,1.0,3.0,1.0,2.0,1.0,1.0,4.0,yes,Detractor
7170,9,Solo Leisure,Economy Class,5.0,3.0,1.0,3.0,1.0,1.0,4.0,yes,Promoter
7171,8,Solo Leisure,Economy Class,4.0,4.0,4.0,4.0,1.0,1.0,5.0,yes,Passive
7172,6,Solo Leisure,Economy Class,3.0,4.0,1.0,4.0,1.0,1.0,4.0,yes,Detractor
7173,7,Family Leisure,Economy Class,3.0,4.0,2.0,4.0,1.0,1.0,4.0,yes,Passive
7174,6,Couple Leisure,Economy Class,3.0,2.0,1.0,2.0,1.0,1.0,4.0,yes,Detractor
7175,6,Family Leisure,Economy Class,2.0,3.0,1.0,4.0,1.0,1.0,4.0,yes,Detractor
7176,8,Solo Leisure,Economy Class,3.0,5.0,5.0,5.0,1.0,1.0,5.0,yes,Passive
7177,1,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
7178,1,Couple Leisure,Economy Class,1.0,5.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
7179,1,Business,Economy Class,4.0,4.0,4.0,5.0,1.0,1.0,1.0,no,Detractor
7180,1,Business,Business Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
7181,3,Solo Leisure,Business Class,3.0,2.0,2.0,1.0,1.0,1.0,1.0,no,Detractor
7182,8,Business,Business Class,2.0,3.0,5.0,3.0,1.0,1.0,3.0,yes,Passive
7183,1,Solo Leisure,Economy Class,2.0,2.0,1.0,3.0,1.0,1.0,1.0,no,Detractor
7184,1,Solo Leisure,Economy Class,4.0,4.0,4.0,3.0,1.0,1.0,5.0,yes,Detractor
7185,1,Solo Leisure,Economy Class,3.0,4.0,3.0,3.0,1.0,1.0,3.0,yes,Detractor
7186,1,Couple Leisure,Economy Class,5.0,5.0,5.0,5.0,1.0,1.0,5.0,yes,Detractor
7187,1,Business,Economy Class,5.0,5.0,4.0,5.0,1.0,1.0,3.0,yes,Detractor
7188,5,Business,Economy Class,4.0,4.0,3.0,4.0,1.0,1.0,2.0,no,Detractor
7189,6,Couple Leisure,Economy Class,3.0,3.0,2.0,3.0,1.0,1.0,3.0,yes,Detractor
7190,3,Business,Economy Class,1.0,5.0,2.0,1.0,1.0,1.0,2.0,no,Detractor
7191,1,Business,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
7192,3,Couple Leisure,Economy Class,3.0,3.0,3.0,1.0,2.0,1.0,3.0,no,Detractor
7193,8,Solo Leisure,Economy Class,5.0,4.0,4.0,4.0,1.0,1.0,4.0,yes,Passive
7194,7,Business,Business Class,3.0,4.0,3.0,4.0,1.0,1.0,2.0,yes,Passive
7195,1,Business,Economy Class,2.0,2.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
7196,1,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
7197,1,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
7198,1,Family Leisure,Economy Class,2.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
7199,1,Business,Economy Class,4.0,5.0,5.0,5.0,1.0,1.0,5.0,yes,Detractor
7200,4,Solo Leisure,Economy Class,1.0,2.0,4.0,3.0,1.0,1.0,3.0,no,Detractor
7201,8,Solo Leisure,Economy Class,3.0,5.0,3.0,3.0,1.0,1.0,3.0,yes,Passive
7202,9,Solo Leisure,Economy Class,4.0,4.0,4.0,5.0,1.0,1.0,3.0,yes,Promoter
7203,1,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
7204,1,Business,Economy Class,4.0,5.0,4.0,5.0,1.0,1.0,4.0,yes,Detractor
7205,1,Couple Leisure,Economy Class,5.0,5.0,5.0,5.0,1.0,1.0,5.0,yes,Detractor
7206,6,Business,Economy Class,2.0,4.0,3.0,4.0,1.0,1.0,3.0,no,Detractor
7207,1,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
7208,1,Business,Economy Class,2.0,3.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
7209,1,Solo Leisure,Economy Class,4.0,5.0,5.0,1.0,3.0,1.0,4.0,yes,Detractor
7210,9,Solo Leisure,Economy Class,5.0,5.0,5.0,1.0,2.0,1.0,4.0,yes,Promoter
7211,1,Solo Leisure,Economy Class,2.0,1.0,2.0,1.0,1.0,1.0,1.0,no,Detractor
7212,2,Solo Leisure,Economy Class,4.0,3.0,2.0,1.0,1.0,1.0,2.0,no,Detractor
7213,5,Solo Leisure,Economy Class,1.0,3.0,1.0,1.0,1.0,1.0,3.0,no,Detractor
7214,5,Solo Leisure,Economy Class,2.0,2.0,3.0,1.0,1.0,1.0,3.0,no,Detractor
7215,9,Solo Leisure,Economy Class,3.0,5.0,4.0,1.0,1.0,1.0,5.0,yes,Promoter
7216,1,Solo Leisure,Economy Class,4.0,5.0,5.0,1.0,4.0,1.0,5.0,yes,Detractor
7217,1,Solo Leisure,Economy Class,1.0,1.0,2.0,1.0,1.0,1.0,1.0,no,Detractor
7218,1,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
7219,1,Solo Leisure,Economy Class,4.0,5.0,4.0,1.0,4.0,1.0,5.0,yes,Detractor
7220,1,Solo Leisure,Economy Class,5.0,5.0,5.0,1.0,5.0,1.0,5.0,yes,Detractor
7221,1,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
7222,1,Solo Leisure,Economy Class,5.0,3.0,5.0,1.0,1.0,1.0,4.0,no,Detractor
7223,2,Solo Leisure,Economy Class,3.0,2.0,3.0,1.0,1.0,1.0,3.0,no,Detractor
7224,8,Solo Leisure,Premium Economy,4.0,5.0,3.0,1.0,1.0,1.0,4.0,yes,Passive
7225,1,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
7226,8,Solo Leisure,Economy Class,2.0,5.0,5.0,1.0,1.0,1.0,5.0,yes,Passive
7227,1,Solo Leisure,Economy Class,4.0,5.0,5.0,1.0,1.0,1.0,5.0,yes,Detractor
7228,3,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
7229,1,Solo Leisure,Economy Class,4.0,5.0,4.0,1.0,1.0,1.0,5.0,yes,Detractor
7230,1,Solo Leisure,Economy Class,5.0,5.0,4.0,1.0,3.0,1.0,5.0,yes,Detractor
7231,9,Solo Leisure,Economy Class,4.0,5.0,4.0,1.0,1.0,1.0,5.0,yes,Promoter
7232,3,Solo Leisure,Economy Class,4.0,2.0,1.0,1.0,1.0,1.0,3.0,no,Detractor
7233,1,Solo Leisure,Economy Class,4.0,5.0,4.0,1.0,3.0,1.0,4.0,yes,Detractor
7234,6,Solo Leisure,Economy Class,2.0,3.0,3.0,1.0,1.0,1.0,3.0,no,Detractor
7235,1,Solo Leisure,Economy Class,5.0,5.0,2.0,1.0,1.0,1.0,1.0,no,Detractor
7236,5,Solo Leisure,Economy Class,2.0,4.0,2.0,1.0,1.0,1.0,1.0,no,Detractor
7237,5,Solo Leisure,Economy Class,1.0,3.0,2.0,1.0,1.0,1.0,3.0,no,Detractor
7238,1,Solo Leisure,Economy Class,2.0,2.0,1.0,1.0,1.0,1.0,2.0,no,Detractor
7239,8,Solo Leisure,Economy Class,2.0,4.0,3.0,1.0,1.0,1.0,2.0,yes,Passive
7240,1,Solo Leisure,Economy Class,3.0,4.0,3.0,1.0,1.0,1.0,1.0,no,Detractor
7241,1,Solo Leisure,Economy Class,4.0,5.0,4.0,1.0,3.0,1.0,4.0,yes,Detractor
7242,8,Solo Leisure,Economy Class,4.0,5.0,4.0,1.0,2.0,1.0,5.0,yes,Passive
7243,2,Solo Leisure,Economy Class,3.0,2.0,1.0,1.0,1.0,1.0,2.0,no,Detractor
7244,7,Solo Leisure,Economy Class,4.0,5.0,5.0,1.0,1.0,1.0,2.0,yes,Passive
7245,9,Solo Leisure,Economy Class,4.0,5.0,5.0,1.0,0.0,1.0,5.0,yes,Promoter
7246,1,Solo Leisure,Economy Class,4.0,5.0,4.0,1.0,0.0,1.0,5.0,yes,Detractor
